rating_no,,id,age_category,book_genre,rating_no,tokenised_text,n_tokens
1.0,175780,review_872086967,Children,Literary fiction,1.0,like book feel boring find confusing part know happen book interested book concentrate point think kind cool overall like book rate star not think author good job book,28
1.0,160253,review_1451070594,Adult,Popular fiction - fantasy,1.0,read trilogy nice fantasy read finish series read trilogy mistaken hope series compare impression rating corroborate trilogy high regard come fantasy series spoiler follow general like series incorporate innovative element daemon different world mulefa world death example account positive review way point installment pretty skeptical sensible imaginative idea need change opinion course book main motivation read book need closure thing get list complaint bullet point book sense rule universe time change new one introduce random time etc thing happen decide happen lame character care motivation leave baffle suddenly need badly apologize think wage war god bit interesting important dick story father amount absolutely end different character ending pretty dramatic point lose interest character story moronic character main character need ask want character stormtrooper genius compare guy shatter wall time like ferry man absolutely possible lake dead course passionate talker naturally exception miss chosen trope thing different manif destiny normal condition hate overall plot confusing main plot resolve way pointless plot unintereste character think main plot lord war god guess important spare like paragraph death god think important learn change battle totally overpower gadget alethiometer subtle knife church bomb use thing time story feel like learn key message open mind work hard build republic heaven exactly epiphany maybe bible thumper book message shocking give especially adventure character aesop character know time moral story literally give end writing good time leave feel like miss intertextuality classical mythology maybe think contribute lot experience way,241
1.0,273696,review_612622561,Adult,Non fiction,1.0,book fairly silly boring insight thing surprised typical teenage ranting good book young likely blather suddenly book end afterword tell people live die war shock reason impression go fine end horrific,31
1.0,45627,review_848109761,Adult,Literary fiction,1.0,write stop read character exception repugnant feel disappointed read good way watch make feel,14
1.0,165633,review_1064298613,Adult,Literary fiction,1.0,torment feel need dog life dog tear yawn surely efficiently distract spend time vain pile junk like endnote watch movie bad pitiful excuse allegory,24
1.0,149544,review_189605577,Adult,Literary fiction,1.0,note require reading book use different set criterion rating book mean rating require reading book necessarily comparable rating book read fun word fun book receive high rating truly great reason require reading book recommend fun book recommend require read book certain people warning approve content book read book english class inspire writing solitude turn create technique magical realism song novel existential novel man turn cockroach isolate know life adjust transformation family especially sister mom try adapt end novel family grow tired see animal member family work financially support family end novel man turn roach die starvation realization die good family find story depressing feel sorry protagonist misunderstood give book star rating sad ending book good,115
1.0,22643,review_353875100,Children,Popular fiction - fantasy,1.0,know fuss book love movie book write poorly take age finish want read,13
1.0,17276,review_123550134,Adult,Popular fiction - fantasy,1.0,okay finally finish freaking book finished pick thank think go far start skip ahead finally figure give time ennui mean seriously care want care like interesting bury pointless verbiage care okay figure give time start read read like lightly skim basically skip description read dialogue depressing way read book let tell happen know vaguely interesting stuff finally start happen bad slog bulk time forget book obvious boring pointless stupid random happenstance check listing oh ugh check listing terrible required mind numbingly dumb coincidence order check plot box telegraph surprise mystery suspense purpose actually mind short freaking book atmosphere good thing book know atmosphere page reason oh ugh go sick,109
1.0,141057,review_25260551,Adult,Literary fiction,1.0,typically like kind book future turn drastically different hard time believe scenario present book happen honestly idea society result simply push mother stay home child author feminist lose touch reality go bizarro afraid blatant book real sleazy feel surprised book garner attention improbable poorly flesh depressing blah,47
1.0,275617,review_1737053752,Adult,Literary fiction,1.0,want like book t matter try give page story character hard follow find tedious time ridiculous wish think help immensely,20
1.0,142812,review_692947835,Children,Popular fiction - fantasy,1.0,think story adventure boy wrong pleased read orphan kid mistreat mean relative take clutch family inheritance find book series like good book try like well,25
1.0,161419,review_1789376854,Adult,Literary fiction,1.0,read exactly like frivolous daydreaming spoiled wish unread,8
1.0,217439,review_59656821,Adult,Literary fiction,1.0,book confusing hard character name like book start person die explain die die get stab overall like book confusing metaphor lot magical realism tell like write real fake,28
1.0,212475,review_1530951873,Adult,Literary fiction,1.0,page start initially require literature class end discuss get finish wish continue find writing style overall story boring know will able page inner peace self happiness intact read book,29
1.0,100613,review_422177849,Adult,Literary fiction,1.0,finally well dreadful bore stick movie,6
1.0,62073,review_366712337,Adult,Popular fiction - crime/mystery,1.0,book read kindle doubt read awful character flat completely unlikable suppose root care single character interesting sympathetic care happen anybody sheer bloody mindedness finish book fair book fairly engage right halfway point big reveal story get silly character recommend completely astonished book receive,43
1.0,189169,review_2265656745,Adult,Literary fiction,1.0,honestly articulate hate novel terrible articulate idea probably think hold value woman middle finger,14
1.0,9127,review_2110255207,Adult,Popular fiction - crime/mystery,1.0,deeply unlikable unbelievable character main plot twist see come away book twist turn slightly interesting writing switch pretentious vulgar like reason keep read find messy situation resolve huge letdown deeply offensive woman awful awful book,35
1.0,125961,review_2670640658,Adult,Literary fiction,1.0,start mention read past page book club read describe brilliant bestselling landmark novel choose descriptive adjective perverse predictable repetitive common complaint man woman reader wade name character situation appear let remain tie tree weather generation seclude room study parchment live mistress home promulgating fertility animal promulgate forth read review undertake novel prepare oddity approach open mind review suggest need culture understand know culture participate rampant incest pedophilia think vision dream oddity effect late stage syphili genetic deficiency cause incest ready drop book battle peep ahead see war fall book skim forward lookout whacky event woman spontaneously arise heaven sheet praise muster bad bad translate book read,106
1.0,189872,review_2874541608,Adult,Popular fiction - fantasy,1.0,read book seriously get halfway happening dnf sheer boredom,9
1.0,127329,review_476146164,Young adult,Popular fiction - general,1.0,school assign book read advanced reader read recently anyways hate book barely finish book write elementary school level wish write phone,21
1.0,294126,review_2809299920,Children,Literary fiction,1.0,hate book glorify childhood guess soppy slimy people get deeply touched find lesson forget chdren know think overly dramatical overblown,20
1.0,85305,review_830151885,Adult,Literary fiction,1.0,sure lose translation author writing dry book hard work lot say humanity book hopeful find movie version well,18
1.0,12216,review_1290264691,Children,Popular fiction - fantasy,1.0,maybe sense humor find book depress amusing lot people enjoy humorous feel sad maybe overthinke way cup tea closure catch bad guy start sad sad middle end sad,28
1.0,82726,review_21482237,Young adult,Popular fiction - fantasy,1.0,resemble steal material lord ring,5
1.0,101304,review_25941179,Adult,Literary fiction,1.0,sister think book well series short story wholly agree,9
1.0,123782,review_2594523633,Adult,Literary fiction,1.0,poorly write able tell flashback actual story believable,8
1.0,271486,review_860497245,Young adult,Popular fiction - fantasy,1.0,think confusing huge fan way author write,7
1.0,242765,review_998455833,Adult,Literary fiction,1.0,beautiful writing style interesting plot race get bogge main character constant observation analysis,13
1.0,46054,review_2075348892,Adult,Literary fiction,1.0,hard relate character sure lose translation agree review terse writing certainly edit short story waste time,16
1.0,115918,review_86210183,Children,Popular fiction - fantasy,1.0,atempt writting opinion merit wild sucess recive think terrible hey unlike time write succeed get well well well book write get good insufferable snob like wait baited breath whast,29
1.0,5499,review_2414171410,Adult,Literary fiction,1.0,world population like eat dog meat necessarily mean try time cherish similarly book certainly look meaningful story character die dead one come life name distribute child family happen continuously chapter break try magical realism genre famously call expect plot book turn dog,42
1.0,282327,review_1979304339,Adult,Literary fiction,1.0,stop read hate main character past,6
1.0,274174,review_791930265,Adult,Non fiction,1.0,pick book class book pick different book choice teacher pick age understand pick book depressing book page turner book close think book diary little dark write happy thing life kinda hard read not understand talk time diary ok depressed setting play take place begin happy beginning know hiding late mrs selfish rude arrogant carreless mrs caring thoughtful house wife material people break office important riseing action think book diary depressing thing alot thing make feel bad imagine think diary era write thing want book wa hard understand not live,89
1.0,107267,review_2140869148,Adult,Literary fiction,1.0,positively painful read story go,5
1.0,65732,review_2369776283,Adult,Literary fiction,1.0,bad book read okonkwo main character horrible selfish person connect level chapter new thing happen feel like connect good character hardly end book start ending suck overall disappointed angry english teacher make read,33
1.0,206517,review_1005448008,Young adult,Popular fiction - fantasy,1.0,read pile movie childhood favorite finally decide rad airplane trip down sitting noteworthy thing movie script use page book screen version fairly faithful thing stomach sequel movie vibe feel wrong like shatter beautiful dream movie book feel way faithful adaptation bastian feel weird bad bad person journey annoying find skim anxious finish book think read kid turn movie love taint plot arc glad read old definitely book go trade pile,70
1.0,278846,review_298918023,Adult,Literary fiction,1.0,action romance satisfied realization world like like excerpt book boring think skip like connect way believe opposition like sudden decide love care rebel work well future annoying,27
1.0,221132,review_440831480,Adult,Popular fiction - crime/mystery,1.0,book consistently bad mood hate movie cheesy episode svu start go course twist flat character annoying development unlikable unbelievable yes fiction have reason follow necessary buy twist plot device come predictably try hard fool interest leave angry read book club organizer sorry book club member read rare actually hate book hate book,52
1.0,130625,review_1400703339,Adult,Popular fiction - crime/mystery,1.0,read blurb book excited begin read begin read get page put frustration story grip way find dull bland boring husband watch dvd release admit completely psychotic wife attempt read book accurate rating,32
1.0,200803,review_70102940,Adult,Literary fiction,1.0,praise lord pass amunition finish beast book brain feel like sludge want crawl hole forget engraine poor head oh noble idea read monster suppose rate believe like well read class group fingernail chalkboard miserable read make feel hopeless hallelujah sidenote little experiment facebook book write status read anybody opinion commenter write enjoy book favorite book sure maybe truthful doubt atleast ask people lie certain book think make look smart rounded like like neccessary like classic book sake make sense maybe know people comment know sure bookstore talk co worker etc spout known hip book adore know person hard read period talk guess point fake book talker like like go think like like literary standard rant,115
1.0,28175,review_2820756357,Adult,Popular fiction - historical,1.0,painful read go character evolve finish recommend great book,9
1.0,81065,review_2912168646,Adult,Popular fiction - crime/mystery,1.0,stop page violent misogynistic maybe,5
1.0,169284,review_63179327,Children,Popular fiction - fantasy,1.0,original title original title title dumbe,6
1.0,31769,review_510063134,Adult,Literary fiction,1.0,disturbing book read image head able rid recommend value peace mind horrify thing read school,15
1.0,274183,review_838583981,Adult,Non fiction,1.0,diary diary write jewish girl live hide diary describe like family go hiding go stay hiding experience feeling different subject time mature start different take thing go life personally enjoy book recommend aware terrible time sorry annes situation intrigue engage interested book whatsoever read good age range enjoy book boring create excitement,52
1.0,74676,review_115987628,Children,Popular fiction - general,1.0,like story self center lie brat book redeem book character,10
1.0,150896,review_169093953,Adult,Popular fiction - historical,1.0,time want ditch reason feel intriguing go happen unfortunately feel like waste time say maybe identify character writing difficult follow distract enjoyment story large list reason like feel feel get potential address event historical time period grab,37
1.0,252354,review_120777506,Adult,Popular fiction - fantasy,1.0,think reason complete book read book enjoy think well ho hum complex return book library halfway impressed plot depiction god mock love revere agree corrupt church god church hate see human imperfection mistake project entire depiction heaven strange painfully long recommend will read,43
1.0,119720,review_1436385598,Adult,Literary fiction,1.0,main character abusive hate woman care status kill kid patience finish know famous,13
1.0,9366,review_340549375,Adult,Popular fiction - crime/mystery,1.0,book instantly pull action story trouble hold reader constantly guess motive character go trust completely watch carefully build webs lie fall apart matter page wish interesting compare main narrator voice distinct obvious character write person know exactly story go end long disappointing happen disrupt preconceived notion hope crazy happen totally wrong twist book instead fall flat pretty anti climactic overall easy read sure nut,64
1.0,207638,review_452150676,Young adult,Popular fiction - fantasy,1.0,book toss aside today pitch hastily write ill conceived piece writing review book work sentence paste fragment bit text auditory significance irritation hack cough sure come sudden infatuation fragment incomplete sentence singly drove infect fragment badly plague absymal rhyme early poem let clear write favorite fantasy novel suppose smart drop height depth fall far come hard character cardboard card stock awkwardly manipulate paper doll plot confusing unclear tumultuous follow constantly distract long list incomplete sentence sure appeal fragment literary author fragment fiction fast pace quick pace writer skipping leap stumble block leave reader dark find shin foot suppose make print large copy read use paper book feel substantial bulk pulp substantial thing novel fact seriously damage reader confidence truly sorry,120
1.0,284829,review_5065475,Adult,Popular fiction - historical,1.0,ugh generally like book selection predictable dull story element enjoy,10
1.0,9813,review_44599177,Adult,Popular fiction - fantasy,1.0,start book movie come know start alright golden compass go hear author write opposite chronicles narnia christian symbolism let kid read ok write stuff comment amendment buy book encourage kid read choose read fine go stop choose bring come anti christian material home,43
1.0,122623,review_2143691520,Children,Popular fiction - fantasy,1.0,infamous friend relative dislike win friend let tell go bet review exactly go endear feel like point need hear end say hate book series okay book amazing change life like enjoy young annoy drive round bend make want tear hair adoration people treat annoy grow adult talk great book love character maybe understand feel like well character well plot interesting narrative find good book field opinion favourite book long need read well book book read favourite unique experience endeavour outshine fellow sky able distinguish star heavens blind radiance say grumpy cynic love book ignore favourite like feel free laugh presumption think book child think well book book magic fantasy well write predictable personal experience childhood waste maybe,117
1.0,24046,review_2351968013,Adult,Literary fiction,1.0,ugh necessary read school writing cut dry taste remember guy lose mom kill guy go jail short,17
1.0,140470,review_2891412985,Adult,Popular fiction - historical,1.0,easy reading hype cup tea ok,6
1.0,133124,review_2158458652,Adult,Popular fiction - historical,1.0,novecento incredible adventure book soooo terrible finish,7
1.0,66936,review_872373557,Adult,Literary fiction,1.0,disappointing book expect good feel like read,7
1.0,61458,review_1989715656,Adult,Literary fiction,1.0,push try story give way,5
1.0,11665,review_812880730,Children,Popular fiction - fantasy,1.0,nightmare read child great example movie well book book trash watch movie,12
1.0,241885,review_23384679,Adult,Literary fiction,1.0,read book human geography class like book basically man live tribe grow yam white man come set government new religion change exile get upset way people forget tradition kill,29
1.0,33561,review_2757752279,Adult,Literary fiction,1.0,poor translation german book difficult book true color grammatical error typo pose numerous stumbling block writing style simplistic superficial dialogue character say english speak person sure compelling theme choice life particularly light tragedy experience childhood unfortunately translate version effectively bring theme surface waste time version,45
1.0,49866,review_1412764907,Adult,Non fiction,1.0,stand listen audio book musing girl stop stop entry family recently go hiding sure important book historical perspective historian interest wane,21
1.0,270557,review_1157948484,Young adult,Popular fiction - fantasy,1.0,predictable plot parent hide truth child good,7
1.0,112941,review_939222945,Adult,Literary fiction,1.0,think book terrible usually find redeem quality book recommend story line give history backstory hard question tale,17
1.0,196160,review_33608594,Adult,Literary fiction,1.0,learn lot book teacher instruction book book proof useful instruction poor literature,12
1.0,246179,review_478010034,Adult,Popular fiction - fantasy,1.0,little add review give couple page expensive especially valuable spend pretentiousness interested thing review good match like love find fairly bore coincidence like book get style soap opera fantasy scifi hate format convention apply real thing tv series think coincidence,40
1.0,78477,review_976597449,Young adult,Popular fiction - general,1.0,finally cave peer pressure decide read supposedly heartwrenche tale teen struggle cancer reality death start read high expectation normally affect romance ya book general frankly unimpressed character sorry give character different type cancer different people parent exact people character noticeable personality author book obsess story find bit amusing say call get cancer rxperience admit real hand knowledge have cancer know like kind scary medical condition company like ordinary kind moody teenager surprised fall love quickly lead fairly typical romance character fall love eye contact let actually speak speak speech actually talk like teenager metaphor particular unteen like reach twist ending find author kill narrator especially write person surprised safe trip surprise think medical professional parent let child different continent say patient trouble walk stair mother helicopter parent care ill daughter boyfriend type mother depend plot demand afraid review get bit ranty final statement impressed plot writte wise thank bother read reveiw,151
1.0,167852,review_1626614673,Adult,Literary fiction,1.0,get library kindle twice get audio book listen road trip cleverly write disdain weary hear contemptuous british accent past imagine like persevere finish sorry sound disrespectful,26
1.0,109267,review_2978148797,Adult,Popular fiction - crime/mystery,1.0,great book sleep read page highly rate book believe folk rate book boring novel read start loving couple lose job husband home town sick mother wife disappear story split police investigate husband wife diary time lead marriage continue current story bad book time decide life short continue star waste money,50
1.0,65155,review_1045309105,Adult,Popular fiction - fantasy,1.0,review book online time finish book start enjoy book give positive review book end fan writer cite series big influence think read plaudit hit television bad unfortunately like prologue interesting read good writing interesting character star purely book treat short story ignore rest weighty tome will far wrong point forward work try inject bit reality grit fantasy argue exactly sunlight dance elf hero ripple muscle massive change direction tout succession dreary unintereste character take series dull stilted conversation attempt create sort dramatic tension simply exist sex reason think make character interesting sex scene awful read excite boy write structure chapter tell point view different character probably sound good paper end result impossible read continuity section deal character chapter reader try grip new main character work kingdom relate character plain confusing exhausting actual narrative device character expect try possible avoid usual trope accept magician elf pure hearted swashbuckling hero leave usual support cast bastard brother grudge scheme dwarf wrong heir throne absolutely new inventive character book remind series completely derivative averagely write heavily market fantasy story eagerly consume people actually read fantasy read fantasy poor relation fine work publish worth consider read bother instead favour pick actually contain truly interesting character world example,202
1.0,273012,review_76801469,Adult,Literary fiction,1.0,page actually enjoy dense read hope rewarding finally invest long distance love affair drop cold hard unexpectedly drop handle frankly care end care female love interest anymore repeat cold hard unexpected maybe try someday warm fuzzy deeply love committed relationship secure knowledge people inherently good belong maybe,47
1.0,216276,review_1767876436,Adult,Literary fiction,1.0,opinion book masterpiece people true narrative good make skin period time lacking cause effect life direct blow book review exist importace family death mean literally move day sorry like,29
1.0,76793,review_1608255290,Adult,Popular fiction - fantasy,1.0,review spot say book basically religion bad drop mic,9
1.0,37152,review_320733676,Young adult,Popular fiction - fantasy,1.0,get chapter stop feel absolutely connection story author try hard create fantasy feel want good fantasy novel world book grab copy instead,22
1.0,239029,review_2139544817,Adult,Literary fiction,1.0,word read frustrating easy understand able create visceral engage screen drama text big problem novel good advantage television adaptation complete lack compelling answer clear philosophical motive arguably story skip novel phase altogether instead jump straight television production emphasis visual description exclusion plot backbone naturally allow loose interpretation producer leave reader struggle anchor concrete societal debate enjoyable dystopian work addition omission clear raison inconsistent narrative style leave reader question allegorical undercurrent begin book feel like rushed cheap attempt rival past high school result read bargain young adult novel look provocation stay away look plot synopsis prior decide commit late cult following turn wikipedia seek understand write intriguing fulfil dystopian bother download,110
1.0,16562,review_1969750019,Adult,Literary fiction,1.0,think think reader think comprehend impact final page tell exactly think insert book storyline write character contrived reason drive fact mean reader author character reveal hatred woman write terribly illogical plot point female character ending book meaningful hound idea right point bad literary classic read,45
1.0,188994,review_1510692751,Adult,Literary fiction,1.0,awful book fact drudge shocking writing style awful book easily halve pointless literal repetition take love dystopian story pure torture ugh life get help endeavor stop hate classic,28
1.0,244774,review_1518590540,Adult,Popular fiction - crime/mystery,1.0,hear people great book finish read hope well unfortunately,9
1.0,55774,review_2923183133,Children,Popular fiction - fantasy,1.0,try enjoy book especially buy book price pretty sure book outright quit reading cup tea plot interesting especially ability travel mirror draw page grow attach warm character think eventually try read book page judge entire book book read,38
1.0,278261,review_436893666,Adult,Popular fiction - crime/mystery,1.0,book club selection look forward read consensus group hate ending believe character end ending bring character flush way long trim page,21
1.0,69973,review_113068067,Adult,Popular fiction - crime/mystery,1.0,try read need chance say love,6
1.0,261569,review_1397797357,Young adult,Popular fiction - fantasy,1.0,film fine book come absolute garbage bastian talk like old man trap child body badly write amazed find wet blanket book possible find side bully unlikeable care stop loser end waste time drivel,33
1.0,39244,review_1065304684,Adult,Popular fiction - historical,1.0,book disappointment consider disgusting sexually predatory behavior woman young boy give pass book care writing style find translation german english smooth,21
1.0,100208,review_24153253,Adult,Literary fiction,1.0,barely book loathe fathom finish read stylistically awful story actually interesting idea execution bad intelligent literate friend like book will hold understand sincerely hope lie eye sentence writing,28
1.0,159852,review_435108587,Adult,Popular fiction - fantasy,1.0,series low rating utter rubbish,5
1.0,74602,review_768572300,Children,Popular fiction - general,1.0,get child read great literature world want sit screen guy dumb sorry thing book crap,15
1.0,140755,review_1091927361,Adult,Literary fiction,1.0,writing ok pre establish pretentiousness author tell read book,9
1.0,67601,review_433331983,Adult,Literary fiction,1.0,like ending book feel make difference man life feel like difference read book book talk dynamic justice life existentialism problem main character pretty apathetic robot thought opinion matter ridiculous uninteresting,30
1.0,176230,review_1741326603,Adult,Literary fiction,1.0,read book assignment class watch talk call sort like talk point start read book talk start bother feel story exact thing criticize speech get impression show racist say racism course fact think single country world racism exist feel chimamanda portray entire society racist people meet racist think need create situation exemplify racism society point boring annoying ifemlu end victim skin color say thing happen book excessively repetitive plus annoying complain small thing like complain ask book thing say book agree go mention racism happen cookie reduce thing world happen like happen say thing like cookie reduce sound say jewish people thank people like risk life save try diminish damage mess thing cause people like deserve recognize try thing well oppress wrong reflection way feel read,125
1.0,222400,review_2045276320,Children,Popular fiction - fantasy,1.0,overrate overrated pretty let thing clear child grow book read philosopher stone read book watch movie manage love plot care character think read try dislike express opinion,27
